time,current_speed,target_speed,gradient (in degrees),throttle,brake,position,power_traction,power_regen,power_friction,energy_traction,energy_regen,energy_friction,energy_net
44.7,71.50079592794994,80,1.5,0.0,1.0,587.6966019846059,0.0,1406.425724346117,468.80857478203893,14.642028733206313,5.41872981513605,1.8062432717120167,9.223298918070263
44.800000000000004,70.32128621730585,80,1.5,1.0,0.0,589.6847068875687,3313.508171604711,0.0,0.0,14.734070626862,5.41872981513605,1.8062432717120167,9.31534081172595
44.900000000000006,71.57177650666176,80,1.5,0.0,1.0,591.6400476319026,0.0,1407.8453359203534,469.2817786401178,14.734070626862,5.457836630022727,1.819278876674242,9.276233996839274
45.0,70.39226679601768,80,1.5,1.0,0.0,593.6301242176074,3316.794309508037,0.0,0.0,14.826203802126113,5.457836630022727,1.819278876674242,9.368367172103385
45.1,71.6427570853736,80,1.5,0.0,1.0,595.5874366446833,0.0,1409.2649474945902,469.7549824981966,14.826203802126113,5.496982878564244,1.8323276261880808,9.329220923561868
45.2,70.4632473747295,80,1.5,1.0,0.0,597.5794849131302,3320.080447411362,0.0,0.0,14.91842825899865,5.496982878564244,1.8323276261880808,9.421445380434406
45.300000000000004,71.71373766408543,80,1.5,0.0,1.0,599.5387690229479,0.0,1410.6845590688267,470.22818635627544,14.91842825899865,5.5361685607606,1.8453895202535329,9.38225969823805
45.400000000000006,70.53422795344133,80,1.5,1.0,0.0,601.5327889741367,3323.366585314687,0.0,0.0,15.010743997479615,5.5361685607606,1.8453895202535329,9.474575436719014
45.5,71.78471824279725,80,1.5,0.0,1.0,603.4940447666964,0.0,1412.1041706430633,470.7013902143543,15.010743997479615,5.575393676611796,1.8584645588705984,9.435350320867819
45.6,70.60520853215316,80,1.5,1.0,0.0,605.4900364006272,3326.6527232180124,0.0,0.0,15.103151017569003,5.575393676611796,1.8584645588705984,9.527757340957208
45.7,71.85569882150908,80,1.5,0.0,1.0,607.453263875929,0.0,1413.5237822172999,471.1745940724332,15.103151017569003,5.614658226117832,1.871552742039277,9.48849279145117
45.800000000000004,70.676189110865,80,1.5,1.0,0.0,609.4512271926018,3329.938861121338,0.0,0.0,15.195649319266817,5.614658226117832,1.871552742039277,9.580991093148986
45.900000000000006,71.9266794002209,80,1.5,0.0,1.0,611.4164263506456,0.0,1414.9433937915364,471.64779793051207,15.195649319266817,5.653962209278708,1.8846540697595688,9.541687109988109
46.0,70.74716968957682,80,1.5,1.0,0.0,613.4163613500604,3333.2249990246637,0.0,0.0,15.288238902573058,5.653962209278708,1.8846540697595688,9.63427669329435
46.1,71.99765997893273,80,1.5,0.0,1.0,615.3835321908462,0.0,1416.3630053657726,472.1210017885909,15.288238902573058,5.693305626094424,1.8977685420314743,9.594933276478633
46.2,70.81815026828865,80,1.5,1.0,0.0,617.385438873003,3336.5111369279884,0.0,0.0,15.380919767487724,5.693305626094424,1.8977685420314743,9.6876141413933
46.300000000000004,72.06864055764456,80,1.5,0.0,1.0,619.3545813965308,0.0,1417.7826169400093,472.5942056466697,15.380919767487724,5.732688476564979,1.9108961588549929,9.648231290922745
46.400000000000006,70.88913084700047,80,1.5,1.0,0.0,621.3584597614296,3339.797274831314,0.0,0.0,15.473691914010816,5.732688476564979,1.9108961588549929,9.741003437445837
46.5,72.13962113635638,80,1.5,0.0,1.0,623.3295739676994,0.0,1419.202228514246,473.0674095047486,15.473691914010816,5.772110760690375,1.9240369202301248,9.70158115332044
46.6,70.9601114257123,80,1.5,1.0,0.0,625.3354240153402,3343.0834127346393,0.0,0.0,15.566555342142333,5.772110760690375,1.9240369202301248,9.794444581451959
46.7,72.21060171506821,80,1.5,0.0,1.0,627.308509904352,0.0,1420.6218400884825,473.5406133628274,15.566555342142333,5.811572478470611,1.93719082615687,9.75498286367172
46.800000000000004,71.03109200442412,80,1.5,1.0,0.0,629.3163316347349,3346.369550637964,0.0,0.0,15.659510051882277,5.811572478470611,1.93719082615687,9.847937573411668
46.900000000000006,72.28158229378003,80,1.5,0.0,1.0,631.2913892064886,0.0,1422.041451662719,474.0138172209063,15.659510051882277,5.851073629905686,1.9503578766352285,9.808436421976591
47.0,71.10207258313595,80,1.5,1.0,0.0,633.3011826196133,3349.6556885412897,0.0,0.0,15.752556043230648,5.851073629905686,1.9503578766352285,9.901482413324961
47.1,72.35256287249187,80,1.5,0.0,1.0,635.278211874109,0.0,1423.4610632369556,474.48702107898515,15.752556043230648,5.890614214995602,1.9635380716652004,9.861941828235045
47.2,71.17305316184778,80,1.5,1.0,0.0,637.2899769699758,3352.9418264446153,0.0,0.0,15.845693316187443,5.890614214995602,1.9635380716652004,9.955079101191842
47.300000000000004,72.4235434512037,80,1.5,0.0,1.0,639.2689779072135,0.0,1424.8806748111922,474.9602249370639,15.845693316187443,5.930194233740357,1.9767314112467855,9.915499082447086
47.400000000000006,71.2440337405596,80,1.5,1.0,0.0,641.2827146858223,3356.227964347941,0.0,0.0,15.938921870752663,5.930194233740357,1.9767314112467855,10.008727637012306
47.5,72.49452402991552,80,1.5,0.0,1.0,643.263687305802,0.0,1426.3002863854285,475.4334287951428,15.938921870752663,5.969813686139952,1.9899378953799838,9.969108184612713
47.6,71.31501431927143,80,1.5,1.0,0.0,645.2793957671528,3359.5141022512657,0.0,0.0,16.03224170692631,5.969813686139952,1.9899378953799838,10.062428020786358
47.7,72.56550460862735,80,1.5,0.0,1.0,647.2623400698745,0.0,1427.719897959665,475.90663265322166,16.03224170692631,6.009472572194388,2.0031575240647954,10.022769134731922
47.800000000000004,71.38599489798327,80,1.5,1.0,0.0,649.2800202139673,3362.8002401545914,0.0,0.0,16.125652824708382,6.009472572194388,2.0031575240647954,10.116180252513994
47.900000000000006,72.63648518733918,80,1.5,0.0,1.0,651.2649361994311,0.0,1429.1395095339017,476.3798365113005,16.125652824708382,6.049170891903663,2.016390297301221,10.076481932804716
48.0,71.45697547669509,80,1.5,1.0,0.0,653.2845880262659,3366.0863780579166,0.0,0.0,16.219155224098877,6.049170891903663,2.016390297301221,10.169984332195215
48.1,72.707465766051,80,1.5,0.0,1.0,655.2714756944716,0.0,1430.5591211081382,476.85304036937936,16.219155224098877,6.088908645267777,2.029636215089259,10.130246578831102
48.2,71.52795605540692,80,1.5,1.0,0.0,657.2930992040484,3369.372515961242,0.0,0.0,16.312748905097802,6.088908645267777,2.029636215089259,10.223840259830025
48.300000000000004,72.77844634476283,80,1.5,0.0,1.0,659.2819585549962,0.0,1431.9787326823748,477.3262442274582,16.312748905097802,6.128685832286733,2.0428952774289106,10.184063072811067
48.400000000000006,71.59893663411874,80,1.5,1.0,0.0,661.305553747315,3372.658653864567,0.0,0.0,16.40643386770515,6.128685832286733,2.0428952774289106,10.277748035418416
48.5,72.84942692347465,80,1.5,0.0,1.0,663.2963847810047,0.0,1433.3983442566114,477.79944808553705,16.40643386770515,6.168502452960528,2.0561674843201754,10.237931414744622
48.6,71.66991721283057,80,1.5,1.0,0.0,665.3219516560654,3375.9447917678926,0.0,0.0,16.500210111920925,6.168502452960528,2.0561674843201754,10.331707658960397
48.7,72.92040750218648,80,1.5,0.0,1.0,667.3147543724971,0.0,1434.817955830848,478.27265194361587,16.500210111920925,6.208358507289162,2.069452835763054,10.291851604631763
48.800000000000004,71.7408977915424,80,1.5,1.0,0.0,669.3422929302998,3379.2309296712183,0.0,0.0,16.594077637745126,6.208358507289162,2.069452835763054,10.385719130455964
48.900000000000006,72.9913880808983,80,1.5,0.0,1.0,671.3370673294735,0.0,1436.2375674050843,478.74585580169474,16.594077637745126,6.248253995272636,2.0827513317575455,10.345823642472489
49.0,71.81187837025422,80,1.5,1.0,0.0,673.3665775700182,3382.517067574543,0.0,0.0,16.68803644517775,6.248253995272636,2.0827513317575455,10.439782449905115
49.1,73.06236865961014,80,1.5,0.0,1.0,675.3633236519339,0.0,1437.6571789793209,479.2190596597736,16.68803644517775,6.288188916910951,2.0960629723036504,10.3998475282668
49.2,71.88285894896605,80,1.5,1.0,0.0,677.3948055752206,3385.8032054778682,0.0,0.0,16.782086534218806,6.288188916910951,2.0960629723036504,10.493897617307853
49.300000000000004,73.13334923832197,80,1.5,0.0,1.0,679.3935233398784,0.0,1439.0767905535577,479.6922635178524,16.782086534218806,6.3281632722041055,2.109387757401368,10.4539232620147
49.400000000000006,71.95383952767787,80,1.5,1.0,0.0,681.4269769459071,3389.089343381194,0.0,0.0,16.876227904868284,6.3281632722041055,2.109387757401368,10.548064632664177
49.5,73.2043298170338,80,1.5,0.0,1.0,683.4276663933068,0.0,1440.496402127794,480.16546737593126,16.876227904868284,6.368177061152099,2.1227256870507,10.508050843716186
49.6,72.0248201063897,80,1.5,1.0,0.0,685.4630916820776,3392.375481284519,0.0,0.0,16.970460557126184,6.368177061152099,2.1227256870507,10.602283495974085
49.7,73.27531039574562,80,1.5,0.0,1.0,687.4657528122193,0.0,1441.9160137020306,480.63867123401013,16.970460557126184,6.408230283754934,2.1360767612516445,10.562230273371252
49.800000000000004,72.09580068510154,80,1.5,1.0,0.0,689.503149783732,3395.6616191878443,0.0,0.0,17.064784490992515,6.408230283754934,2.1360767612516445,10.65655420723758
49.900000000000006,73.34629097445745,80,1.5,0.0,1.0,691.5077825966158,0.0,1443.3356252762671,481.11187509208895,17.064784490992515,6.448322940012607,2.1494409800042025,10.616461550979906
50.0,72.16678126381336,80,1.5,1.0,0.0,693.5471512508706,3398.94775709117,0.0,0.0,17.15919970646727,6.448322940012607,2.1494409800042025,10.71087676645466
50.1,73.41727155316927,80,1.5,0.0,1.0,695.5537557464962,0.0,1444.7552368505037,481.5850789501678,17.15919970646727,6.488455029925121,2.162818343308374,10.670744676542146
50.2,72.23776184252519,80,1.5,1.0,0.0,697.5950960834929,3402.2338949944956,0.0,0.0,17.253706203550447,6.488455029925121,2.162818343308374,10.765251173625328
50.300000000000004,73.4882521318811,80,1.5,0.0,1.0,699.6036722618605,0.0,1446.17484842474,482.05828280824664,17.253706203550447,6.528626553492476,2.1762088511641586,10.725079650057973
50.400000000000006,72.30874242123701,80,1.5,1.0,0.0,701.6469842815992,3405.520032897821,0.0,0.0,17.348303982242054,6.528626553492476,2.1762088511641586,10.819677428749578
50.5,73.55923271059292,80,1.5,0.0,1.0,703.6575321427089,0.0,1447.5944599989768,482.53148666632546,17.348303982242054,6.56883751071467,2.1896125035715563,10.779466471527384
50.6,72.37972299994884,80,1.5,1.0,0.0,705.7028158451895,3408.8061708011455,0.0,0.0,17.442993042542085,6.56883751071467,2.1896125035715563,10.874155531827416
50.7,73.63021328930475,80,1.5,0.0,1.0,707.7153353890412,0.0,1449.0140715732132,483.00469052440434,17.442993042542085,6.609087901591703,2.2030293005305674,10.833905140950382
50.800000000000004,72.45070357866067,80,1.5,1.0,0.0,709.7625907742639,3412.092308704471,0.0,0.0,17.537773384450542,6.609087901591703,2.2030293005305674,10.928685482858842
